model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid_1_AutoML_1_20250818_202836_model_4,1.0,0.5779101797200695,1.0,0.0,0.4368092283153382,0.1908023019414413
DeepLearning_grid_1_AutoML_1_20250818_202836_model_17,1.0,0.5113070895271898,1.0,0.0,0.431653753881961,0.1863249632403886
GBM_grid_1_AutoML_1_20250818_202836_model_15,1.0,0.0190315151753305,1.0,0.0,0.0786738782566567,0.0061895791199432
DeepLearning_grid_1_AutoML_1_20250818_202836_model_34,1.0,0.1671832883315517,1.0,0.0,0.2233207294251171,0.0498721481909663
GBM_3_AutoML_1_20250818_202836,1.0,0.0162988446603631,1.0,0.0,0.0698487295793569,0.0048788450238501
DeepLearning_grid_1_AutoML_1_20250818_202836_model_24,1.0,0.0856604278324169,1.0,0.0,0.121750132050414,0.0148230946542932
GBM_grid_1_AutoML_1_20250818_202836_model_37,1.0,0.0173216829518595,1.0,0.0,0.0721941819967911,0.0052119999141858
DeepLearning_grid_2_AutoML_1_20250818_202836_model_10,1.0,0.1703904997955232,1.0,0.0,0.2372766837687318,0.0563002246602867
DeepLearning_grid_1_AutoML_1_20250818_202836_model_43,1.0,0.2868733004714339,1.0,0.0,0.2663176240671088,0.0709250768887499
DeepLearning_grid_1_AutoML_1_20250818_202836_model_44,1.0,1.2326272487790113,1.0,0.0,0.6438625144425744,0.4145589375043142
XGBoost_grid_1_AutoML_1_20250818_202836_model_166,1.0,0.1633274205887223,1.0,0.0,0.1627685992187868,0.026493616891646
GBM_grid_1_AutoML_1_20250818_202836_model_33,1.0,0.0617371605112537,1.0,0.0,0.1485499967153778,0.0220671015241387
DeepLearning_grid_1_AutoML_1_20250818_202836_model_31,1.0,0.033328294610386,1.0,0.0,0.1149903658617341,0.0132227842410154
XGBoost_grid_1_AutoML_1_20250818_202836_model_107,1.0,0.1391681888233192,1.0,0.0,0.1476939910121674,0.0218135149811021
XGBoost_grid_1_AutoML_1_20250818_202836_model_43,1.0,0.144322382368531,1.0,0.0,0.1410739294075376,0.0199018535584829
GBM_grid_1_AutoML_1_20250818_202836_model_41,1.0,0.0102208643664933,1.0,0.0,0.0475642173812788,0.0022623547750935
DeepLearning_grid_1_AutoML_1_20250818_202836_model_16,1.0,0.0348692926663454,1.0,0.0,0.1033168442588116,0.0106743703075995
StackedEnsemble_AllModels_1_AutoML_1_20250818_202836,1.0,0.0363164687634514,1.0,0.0,0.1010361364856503,0.0102083008759469
GBM_4_AutoML_1_20250818_202836,1.0,0.0371162400752465,1.0,0.0,0.1206450077603038,0.0145552178974837
DeepLearning_grid_2_AutoML_1_20250818_202836_model_3,1.0,0.0862141789523734,1.0,0.0,0.1649494741400388,0.0272083290190753
DeepLearning_grid_1_AutoML_1_20250818_202836_model_35,1.0,0.1716261776984665,1.0,0.0,0.2579459444727458,0.0665361102699368
GBM_grid_1_AutoML_1_20250818_202836_model_23,1.0,0.0048380947883735,1.0,0.0,0.024086358962103,0.0005801526880512841
XGBoost_grid_1_AutoML_1_20250818_202836_model_99,1.0,0.1169717432385519,1.0,0.0,0.1229571426122091,0.0151184589193591
GBM_grid_1_AutoML_1_20250818_202836_model_32,1.0,0.0110320073435437,1.0,0.0,0.0506552044433384,0.0025659497371964
DeepLearning_grid_3_AutoML_1_20250818_202836_model_4,1.0,0.1046589454902157,1.0,0.0,0.1814937645759162,0.0329399865799381
GBM_grid_1_AutoML_1_20250818_202836_model_93,1.0,0.0349989003848823,1.0,0.0,0.1132694188637816,0.0128299612497388
GBM_grid_1_AutoML_1_20250818_202836_model_94,1.0,0.0196567986923409,1.0,0.0,0.0777314284766842,0.0060421749730258
DeepLearning_grid_1_AutoML_1_20250818_202836_model_28,1.0,0.0616355532104866,1.0,0.0,0.1305251358272038,0.01703681108271
DeepLearning_grid_1_AutoML_1_20250818_202836_model_7,1.0,0.3429058817148621,1.0,0.0,0.3184503487326755,0.1014106246079626
DeepLearning_grid_1_AutoML_1_20250818_202836_model_33,1.0,0.0298984150856031,1.0,0.0,0.0758167930467218,0.0057481861078894
StackedEnsemble_BestOfFamily_3_AutoML_1_20250818_202836,1.0,0.0363097048583726,1.0,0.0,0.1036827425498881,0.0107501111026663
GBM_grid_1_AutoML_1_20250818_202836_model_88,1.0,0.007486123626088,1.0,0.0,0.0337318620498173,0.0011378385173479
DeepLearning_grid_1_AutoML_1_20250818_202836_model_23,1.0,0.5249341490123622,1.0,0.0,0.4411360809795355,0.1946010419419833
DeepLearning_grid_1_AutoML_1_20250818_202836_model_27,1.0,0.0621673364792651,1.0,0.0,0.1341329127288283,0.0179916382771194
DeepLearning_grid_1_AutoML_1_20250818_202836_model_12,1.0,0.0679103464471911,1.0,0.0,0.1386831213213468,0.0192330081394314
DeepLearning_grid_1_AutoML_1_20250818_202836_model_18,1.0,0.0092401619575725,1.0,0.0,0.0345907247722561,0.0011965182402699
DeepLearning_grid_2_AutoML_1_20250818_202836_model_11,1.0,0.0879299928577581,1.0,0.0,0.1659833070677474,0.0275504582251461
XRT_1_AutoML_1_20250818_202836,1.0,0.0176146766815858,1.0,0.0,0.0742781352708207,0.0055172413793103
GBM_grid_1_AutoML_1_20250818_202836_model_96,1.0,0.0152722881765397,1.0,0.0,0.0661755218881451,0.0043791996971683
DeepLearning_grid_3_AutoML_1_20250818_202836_model_1,1.0,0.0995679142501274,1.0,0.0,0.168574604113103,0.0284173971518894
GBM_grid_1_AutoML_1_20250818_202836_model_9,1.0,0.0371162400752465,1.0,0.0,0.1206450077603038,0.0145552178974837
